listing_id,make,model,year,odometer_km,fuel_type,transmission,price,listed_date,sold_date,dealer_id,seller_rating,views
L3047,KIA,Sportage,2024,"3,082 km",petrol,automatic,"17,777 AUD",23/04/2025,2025-08-07,D112,4.9,298
L3040,Ford,Focus,2019,"114,445 km",Petrol,automatic,"$15,043",-,2026-07-07,D110,4.1,472
L3153,Toyota,Camry,2022,54307,PETROL,AUTOMATIC,"20,165 AUD",2026-01-19,2026-05-09,D102,3.9,396
L3086,Toyota,Camry,2019,95668,petrol,AUTO,"$13,649",2025-02-28,,D112,2.8,581
L3088,Hyundai,Tucson,2016,104479,hybrid,automatic,"$8,796",2025/10/30,2025-12-09,D102,4.5,442
L3064,Ford,Focus,2012,"208,017 km",petrol,auto,"$5,455",2025/06/21,,D118,4.1,347
L3137,Toyota,Camry,2015,"177,794 km",electric,automatic,"$6,935",2025-08-30,2025-11-12,D120,3.7,256
L3050,MAZDA,CX-5,2020,"91,394 km",Unleaded,automatic,"$14,880",-,2025-04-20,D113,4.7,541
L3072,Hyundai,Tucson,2020,91419,petrol ,man,"12,517 AUD",2025-02-17,,D108,5.0,5
L3023,Volkswagen,Polo,2022,48268,petrol,auto,"$21,006",2025-09-12,2025-11-04,D109,3.9,129
L3014,Toyota,Camry,2015,107686,petrol ,automatic,"$8,330",2026-04-05,2026-06-05,D101,4.5,453
L3105,Ford,Focus,2010,218227,HYBRID,automatic,"$4,000",-,2025-10-03,D980,4.7,519
L3035,Volkswagen,Polo,2015,unknown,petrol,automatic,"$11,229",2025-04-15,2025-08-06,D119,3.5,208
L3144,MAZDA,CX-5,2016,146869,petrol,AUTOMATIC,"8,014 AUD",2025-04-20,2025-05-31,D103,4.5,--
L3066,Kia,Sportage,2014,166948,hybrid,automatic,"$4,000",2025-04-04,2025-05-04,D101,3.9,342
L3019,Toyota,Camry,2021,69346,petrol,automatic,"$18,996",14/09/2025,2025-09-26,D107,4.1,173
L3166,Ford,Ranger,2019,66659,Unleaded,automatic,"$23,712",2026/02/14,2026-04-23,D119,4.3,399
L3129,Mazda,CX-5,2018,147588,diesel,automatic,"$14,742",2026/04/29,2026-05-17,D109,3.8,551
L3049,Toyota,Corolla,2016,139644,hybrid,automatic,"$4,000",2026-01-25,,D106,4.6,201
L3065,FORD,Focus,2024,"15,367 km",Hybrid,automatic,"31,167 AUD",2025-09-28,,D124,4.5,140
L3199, Kia ,Cerato,2020,95419,?,AUTOMATIC,,2026-04-26,2026-06-01,D113,4.6,137
L3067,hyundai,i30,2014,"181,738 km",Petrol,auto,,12/03/2026,2026-06-09,D116,4.3,473
L3109,Ford,Focus,2019,unknown,Unleaded,manual,"11,403 AUD",2025-07-11,2025-08-28,D110,5.0,472
L3127,Kia,Sportage,2016,138590,Hybrid,manual,"4,000 AUD",2026/03/13,2026-06-10,D104,4.6,220
L3063,HYUNDAI,i30,2016,121432,PETROL,auto,"$9,348",2025-07-21,2025-10-16,D104,4.2,484
L3100,Ford,Focus,2020,unknown,petrol,automatic,"$17,748",2026-04-26,2026-08-01,D100,3.4,429
L3069,Volkswagen,Polo,2015,"132,120 km",PETROL,automatic,"$9,106",2025-10-18,2025-10-21,D104,4.5,405
L3083,Mazda,CX-5,2013,"163,839 km",electric,automatic,"$5,354",2026-06-12,,D943,4.5,188
L3038,Hyundai,Tucson,2022,44934,petrol ,automatic,"$15,562",2025-07-25,,D124,4.2,150
L3193,Volkswagen,Golf,2016,"124,445 km",diesel,automatic,"$7,121",2026/03/05,,D121,4.4,469
L3059,Ford,Focus,2010,"219,731 km",Hybrid,Manual,"$4,000",2025-04-29,2025-06-17,D102,3.8,430
L3000,Toyota,Camry,2018,103278,petrol,Automatic,"15,219 AUD",2026-05-03,,D104,3.6,--
L3128,Hyundai,Tucson,2018,"82,544 km",petrol,auto,"$9,359",19-May-2026,,D106,4.4,--
L3121, Mazda ,CX-5,2016,152062,petrol,AUTOMATIC,"$8,153",2026-06-10,,D122,4.3,358
L3110,Hyundai,Tucson,2023,20236,ELECTRIC,AUTOMATIC,"21,170 AUD",2025-01-09,2025-04-13,D122,4.0,230
L3175,Hyundai,i30,2024,500,Petrol,automatic,"21,750 AUD",2026/01/17,,D112,N/A,253
L3118, Volkswagen ,Golf,2018,"81,003 km",hybrid,auto,"$10,967",08/03/2025,2025-04-07,D123,4.7,489
L3032,kia,Sportage,2010,unknown,hybrid,automatic,"$4,000",2026-06-06,,D121,3.2,560
L3018,Toyota,Corolla,2013,173659,PETROL,automatic,"$4,023",2025-01-16,2025-05-07,D115,4.8,256
L3057,Hyundai,i30,2015,163806,diesel,Manual,"4,000 AUD",2025-04-08,,D122,3.6,342
L3003,Ford,Ranger,2013,179904,EV,automatic,"$4,000",2025-09-15,2025-09-20,D112,3.8,275
L3104,HYUNDAI,i30,2016,136155,hybrid,automatic,,2025/01/15,,D121,N/A,--
L3044,Ford,Ranger,2014,"159,865 km",hybrid,manual,,2025-09-28,,D110,4.5,357
L3162,Toyota,Camry,2015,126576,Diesel,automatic,"$4,547",2026/03/21,,D109,4.4,731
L3038,Hyundai,Tucson,2022,44934,petrol ,automatic,"$15,562",2025-07-25,,D124,4.2,150
L3177,Hyundai,i30,2013,169880,petrol,manual,,2025-02-09,,D100,N/A,--
L3007,toyota,Corolla,2021,86083,Diesel,Manual,"14,001 AUD",2025-12-29,,D106,2.9,310
L3135,Volkswagen,Polo,2010,202107,petrol,automatic,"$4,000",2025-07-07,,D122,4.1,362
L3004,Hyundai,i30,2022,43934,petrol ,automatic,"$13,984",07-Oct-2025,2025-12-17,D107,3.4,149
L3039, Ford ,Ranger,2018,-1,hyb,Automatic,"$15,538",2025-09-14,,D101,4.9,157
L3101,Mazda,Mazda3,2024,"22,564 km",petrol,Automatic,"$24,660",-,,D121,N/A,-99
L3167,Hyundai,Tucson,2014,142603,petrol,AUTOMATIC,"$4,000",2026-04-09,2026-06-26,D988,4.4,14
L3031,Kia,Sportage,2021,85909,petrol,automatic,"$15,925",2026-05-26,,D119,3.8,484
L3030,Ford,Focus,2016,128484,diesel,automatic,"$10,820",2025-08-03,2025-09-22,D109,4.8,502
L3123,ford,Ranger,2011,216746,Hybrid,auto,"4,000 AUD",2026-04-01,,D121,5.0,230
L3188, Toyota ,Corolla,2013,132848,Diesel,automatic,"$4,918",2025-05-28,,D103,3.1,100
L3034,Toyota,Corolla,2019,104621,petrol,AUTOMATIC,"14,845 AUD",2026-04-08,2026-07-24,D107,3.6,414
L3084,Volkswagen,Polo,2024,500 km,Petrol,automatic,,2025-06-11,2025-08-26,D120,N/A,--
L3027,Hyundai,i30,2023,unknown,?,AUTO,"$20,228",2026-04-19,2026-05-17,D107,3.5,608
L3078,TOYOTA,Corolla,2018,93449,petrol,automatic,"11,849 AUD",2025-12-30,,D115,3.6,214
L3180,Mazda,Mazda3,2012,185631,Petrol,AUTO,"$4,000",2026-06-16,2026-07-20,D115,3.2,282
L3165,Mazda,Mazda3,2017,"123,316 km",Diesel,MANUAL,"$8,307",09-Feb-2025,2025-05-05,D114,3.9,329
L3060,Kia,Cerato,2023,27484,PETROL,manual,"23,869 AUD",2025-02-19,2025-03-26,D117,3.9,423
L3005,Mazda,Mazda3,2019,"77,060 km",petrol ,automatic,"$16,226",2025-11-07,2026-01-29,D101,3.8,233
L3145,FORD,Ranger,2012,210474,petrol,automatic,,24-Jun-2026,2026-09-17,D115,4.5,448
L3124, Ford ,Ranger,2012,200794,petrol,automatic,,2026-03-12,,D122,3.5,330
L3075,Hyundai,Tucson,2016,116247,Unleaded,automatic,"$7,682",10-Jul-2025,2025-07-28,D107,4.7,112
L3176,Volkswagen,Polo,2015,"187,319 km",petrol,MANUAL,"$4,000",2026-04-16,,D116,4.4,6
L3094,Mazda,CX-5,2021,"52,010 km",HYBRID,manual,"$18,472",2025-04-07,,D115,5.0,203
L3090,Hyundai,i30,2022,65334,diesel,AUTOMATIC,"$15,858",2026/03/22,2026-07-19,D101,4.0,465
L3056,Volkswagen,Polo,2022,49945,PETROL,MANUAL,,2025-02-22,2025-05-17,D124,N/A,--
L3198,volkswagen,Golf,2024,38016,electric,man,"$21,352",2025-09-27,,D103,3.5,322
L3042,Hyundai,i30,2023,47528,hybrid,automatic,"$22,412",2025-01-16,,D117,3.3,444
L3181,Ford,Focus,2014,158482,petrol,automatic,"9,112 AUD",23/05/2026,,D121,3.9,446
L3168,Kia,Sportage,2016,84874,petrol,automatic,"$4,000",2026-06-22,,D100,3.4,355
L3132,ford,Ranger,1900,218208,petrol,automatic,"$6,754",31/07/2025,,D106,4.6,389
L3009, Ford ,Ranger,2013,184826,PETROL,auto,"$6,996",2026-03-04,2026-05-03,D115,2.5,367
L3093,Hyundai,Tucson,2012,143121,Petrol,automatic,"4,000 AUD",2026-01-29,,D101,5.0,425
L3133, Toyota ,Camry,2017,"95,996 km",electric,automatic,"$9,807",2025-03-27,,D121,4.3,103
L3029,Volkswagen,Golf,2020,106455,petrol,automatic,"$16,243",2026-06-03,2026-07-15,D101,4.2,294
L3192,HYUNDAI,Tucson,2017,94045,diesel,AUTOMATIC,"$11,501",2025-06-27,,D121,4.6,405
L3051,Hyundai,Tucson,2019,97765,Unleaded,manual,"$12,583",23/05/2026,2026-06-13,D102,5.0,457
L3185,Toyota,Camry,2024,13229,petrol,automatic,"$27,371",-,2025-04-27,D104,4.3,492
L3171,Kia,Cerato,2021,49913,petrol,AUTO,"$13,834",02-May-2026,2026-06-02,D115,4.5,273
L3154,VOLKSWAGEN,Golf,2019,51608,Unleaded,auto,"16,721 AUD",12-Dec-2025,2026-01-14,D119,5.0,56
L3026,Toyota,RAV4,2011,201099,petrol,AUTO,"$4,000",2025-07-07,2025-08-16,D112,5.0,352
L3197,Kia,Cerato,2018,89444,Diesel,automatic,"$7,534",2026/01/10,,D121,4.2,215
L3196,Ford,Ranger,2023,"29,170 km",diesel,automatic,"$24,474",26/10/2025,2025-10-31,D111,4.9,570
L3104,HYUNDAI,i30,2016,136155,hybrid,automatic,"$8,063",2025/01/15,,D121,3.7,245
L3115,Kia,Sportage,2024,34833,DIESEL,AUTOMATIC,"$19,745",2026-06-09,,D103,4.6,194
L3112, Ford ,Focus,2014,151470,?,AUTOMATIC,"$4,000",-,2026-06-02,D123,3.7,603
L3174,ford,Ranger,2015,116795,?,automatic,"$8,886",2025-06-27,,D105,N/A,160
L3011,Hyundai,i30,2016,125112,petrol,MANUAL,"$4,217",22-Nov-2025,,D109,4.3,289
L3194,Kia,Sportage,2019,"78,625 km",diesel,AUTOMATIC,"$8,559",2026-04-24,2026-07-14,D118,N/A,366
L3160,KIA,Sportage,2023,"24,755 km",hybrid,auto,"$16,751",2025-05-04,,D110,3.1,307
L3118, Volkswagen ,Golf,2018,"81,003 km",hybrid,auto,"$10,967",08/03/2025,2025-04-07,D123,4.7,489
L3119,MAZDA,CX-5,2017,93265,Diesel,Automatic,"$9,762",15/11/2025,,D120,3.1,--
L3024,Kia,Sportage,2015,186951,petrol ,automatic,"5,357 AUD",2025-11-22,2025-12-10,D111,4.4,396
L3140,Hyundai,Tucson,2015,"144,158 km",Petrol,man,"$4,000",21-Jul-2025,,D111,4.3,101
L3076,hyundai,Tucson,2015,120694,diesel,man,"$7,086",2026-01-06,,D114,4.1,301
L3169,Hyundai,i30,2016,"145,786 km",Unleaded,Manual,"$6,954",2025-09-05,2025-11-17,D109,4.7,290
L3097,volkswagen,Golf,2017,129083,diesel,automatic,"13,669 AUD",2025-08-07,2025-11-18,D104,4.7,370
L3001, Toyota ,RAV4,2020,85659,petrol ,automatic,"$18,111",22/01/2025,2025-05-09,D123,3.6,606
L3177,Hyundai,i30,2013,169880,petrol,manual,"$4,000",2025-02-09,,D100,4.3,340
L3045,Mazda,Mazda3,2014,unknown,Electric,Automatic,,2026-06-14,2026-09-28,D118,N/A,--
L3116,Volkswagen,Golf,2023,500,Petrol,automatic,"$22,207",2025/03/11,,D101,4.1,189
L3186,Mazda,Mazda3,2021,24187,Unleaded,MANUAL,"17,460 AUD",2025-07-02,2025-10-14,D122,4.9,247
L3052,MAZDA,Mazda3,2016,unknown,hybrid,manual,"10,436 AUD",2025-11-06,,D103,3.9,492
L3155,Ford,Ranger,2013,186785,Petrol,automatic,"4,000 AUD",2026-03-11,2026-04-16,D118,4.9,410
L3106,Mazda,CX-5,2011,"208,321 km",diesel,Manual,"4,000 AUD",2026-06-21,2026-08-06,D109,N/A,387
L3159,Ford,Ranger,2018,96162,petrol,AUTOMATIC,"16,239 AUD",27/07/2025,,D105,4.3,-99
L3120,Kia,Sportage,2020,"55,538 km",diesel,Automatic,"$15,196",17/02/2025,2025-03-03,D123,3.6,205
L3111,Kia,Cerato,2023,unknown,electric,automatic,"$19,294",2025-06-09,,D106,4.2,429
L3103,kia,Sportage,2024,26881,PETROL,Automatic,"$23,496",2025-01-05,,D914,4.7,231
L3152,Volkswagen,Golf,2024,"14,207 km",diesel,automatic,"$21,953",07/12/2025,2026-03-03,D112,3.6,559
L3130,kia,Sportage,2019,"68,691 km",petrol,automatic,"11,087 AUD",2025-10-19,2025-11-09,D101,4.1,381
L3191,Kia,Cerato,2021,unknown,petrol,automatic,"$10,412",2025/01/29,2025-04-17,D124,4.7,204
L3099,Hyundai,Tucson,2020,119334,petrol ,automatic,"$11,827",2025-04-18,,D119,3.5,446
L3182,Kia,Cerato,2016,164942,petrol ,man,"8,409 AUD",2026-06-18,2026-08-26,D105,5.0,250
L3172,Kia,Cerato,2023,66777,petrol,automatic,"$20,537",2025-09-13,2025-09-28,D113,4.3,194
L3067,hyundai,i30,2014,"181,738 km",Petrol,auto,,12/03/2026,2026-06-09,D116,4.3,473
L3113,KIA,Cerato,1900,"92,207 km",Petrol,manual,"$14,696",2025-05-29,,D107,0,--
L3138,VOLKSWAGEN,Golf,2016,-1,Unleaded,AUTOMATIC,"12,451 AUD",2026-02-08,2026-05-03,D114,3.1,5
L3156,Kia,Cerato,2022,11105,EV,automatic,"$21,571",01-Dec-2025,,D121,3.7,457
L3107,Hyundai,Tucson,2024,71148,petrol,Automatic,"$22,165",14/02/2025,2025-05-04,D116,4.1,73
L3051,Hyundai,Tucson,2019,97765,Unleaded,manual,,23/05/2026,2026-06-13,D102,N/A,--
L3081, Volkswagen ,Golf,2018,unknown,EV,manual,"16,438 AUD",2026-02-15,2026-03-13,D112,4.8,521
L3025,Kia,Cerato,2023,11741,HYBRID,automatic,"$18,801",2025-12-11,2026-03-22,D105,3.9,76
L3146,Mazda,CX-5,2014,182876,petrol,automatic,"$5,791",2025-02-22,2025-05-28,D108,4.4,469
L3082,Hyundai,i30,2014,139132,petrol ,auto,"$4,000",2026-01-27,2026-05-12,D112,4.9,508
L3006,Mazda,CX-5,2012,184854,petrol,AUTO,,2025-06-24,,D112,4.2,443
L3046,FORD,Focus,2016,142028,?,AUTO,"$11,573",2025-12-06,2026-01-08,D101,3.9,250
L3170,kia,Cerato,2024,unknown,?,Automatic,"$18,412",2026/05/11,,D103,4.5,148
L3122,ford,Focus,2016,104471,hybrid,automatic,"$11,081",2025-06-13,,D116,4.3,352
L3092,Toyota,Corolla,2017,105815,petrol ,man,,24/02/2025,2025-06-03,D124,4.6,641
L3028,Hyundai,i30,2013,unknown,petrol,automatic,"4,000 AUD",2025-09-11,,D108,5.0,376
L3058,Mazda,Mazda3,2010,205971,Petrol,AUTOMATIC,"$4,000",2026-01-27,,D119,4.3,264
L3151,Toyota,Camry,2013,162178,petrol,AUTOMATIC,"5,187 AUD",2025-10-30,2025-11-16,D112,N/A,518
L3098,Volkswagen,Golf,2018,123108,diesel,automatic,"11,247 AUD",04-Mar-2026,2026-06-25,D102,4.5,358
L3126,Mazda,Mazda3,2013,177568,petrol,MANUAL,"4,915 AUD",2025-02-18,,D107,4.2,403
L3016,Mazda,CX-5,2017,122223,petrol,manual,"$9,623",23-Dec-2025,2026-04-15,D101,3.9,429
L3087, Hyundai ,i30,2012,150212,PETROL,automatic,"$4,000",29-Sep-2025,2025-10-12,D109,4.3,565
L3023,Volkswagen,Polo,2022,48268,petrol,auto,"$21,006",2025-09-12,2025-11-04,D109,3.9,129
