date,store,day_of_week,is_weekend,month,temp_c,customers,hot_drinks,iced_drinks,pastries,revenue,staff_on_shift,avg_rating,promo
2025-02-09,Bondi,Sunday,True,Feb,31.6,217,36,145,85,1477.43,5,4.45,no
2025-02-10,Bondi,Monday,False,Feb,34.7,189,8,130,76,1263.09,5,4.26,yes
2025-02-11,Bondi,Tuesday,False,Feb,26.3,171,52,81,69,1128.37,4,4.3,no
2025-02-12,Bondi,Wednesday,False,Feb,31.2,153,43,93,57,1121.3,4,4.14,no
2025-02-13,Bondi,Thursday,False,Feb,30.2,167,20,104,58,1057.43,5,3.64,no
2025-02-14,Bondi,Friday,False,Feb,28.5,170,44,91,78,1213.25,4,4.4,no
2025-02-15,Bondi,Saturday,True,Feb,31.1,216,42,130,80,1466.44,5,4.15,yes
2025-02-16,Bondi,Sunday,True,Feb,33.3,237,32,171,89,1692.82,5,4.56,no
2025-02-17,Bondi,Monday,False,Feb,25.9,161,52,69,50,920.8,4,4.28,no
2025-02-18,Bondi,Tuesday,False,Feb,31.4,201,55,119,70,1374.45,4,3.89,no
2025-02-19,Bondi,Wednesday,False,Feb,30.6,148,17,89,53,948.31,2,4.15,no
2025-02-20,Bondi,Thursday,False,Feb,31.9,186,26,118,74,1254.32,4,4.6,no
2025-02-21,Bondi,Friday,False,Feb,29.9,158,14,97,59,966.59,5,4.5,no
2025-02-22,Bondi,Saturday,True,Feb,28.7,173,49,101,59,1202.99,4,3.87,no
2025-02-23,Bondi,Sunday,True,Feb,32.4,222,41,147,70,1495.53,6,3.95,no
2025-02-24,Bondi,Monday,False,Feb,27.9,124,22,66,49,755.0,3,4.09,no
2025-02-25,Bondi,Tuesday,False,Feb,27.4,155,36,88,55,989.61,4,4.51,no
2025-02-26,Bondi,Wednesday,False,Feb,29.4,142,28,76,57,926.5,3,4.5,no
2025-02-27,Bondi,Thursday,False,Feb,29.1,179,40,100,72,1207.15,4,3.95,no
2025-02-28,Bondi,Friday,False,Feb,26.6,157,53,70,71,1105.68,4,3.86,no
2025-03-01,Bondi,Saturday,True,Mar,27.3,200,47,111,75,1338.49,4,4.04,yes
2025-03-02,Bondi,Sunday,True,Mar,26.1,225,65,112,95,1494.97,5,4.34,no
2025-03-03,Bondi,Monday,False,Mar,26.9,178,51,97,68,1214.9,5,4.2,no
2025-03-04,Bondi,Tuesday,False,Mar,31.4,153,29,93,63,1074.36,3,4.45,no
2025-03-05,Bondi,Wednesday,False,Mar,29.2,131,33,70,41,784.36,2,4.02,no
2025-03-06,Bondi,Thursday,False,Mar,25.3,164,40,86,73,1133.91,3,4.22,no
2025-03-07,Bondi,Friday,False,Mar,29.7,138,27,89,34,888.01,4,4.08,no
2025-03-08,Bondi,Saturday,True,Mar,23.1,219,85,78,67,1194.28,5,4.94,no
2025-03-09,Bondi,Sunday,True,Mar,29.6,216,52,124,96,1515.52,5,4.4,no
2025-03-10,Bondi,Monday,False,Mar,31.4,194,52,117,74,1377.92,5,4.36,no
2025-03-11,Bondi,Tuesday,False,Mar,31.1,181,17,119,54,1144.55,3,4.32,no
2025-03-12,Bondi,Wednesday,False,Mar,26.7,135,20,78,50,849.9,4,3.9,no
2025-03-13,Bondi,Thursday,False,Mar,26.5,167,39,86,65,1068.53,4,4.27,no
2025-03-14,Bondi,Friday,False,Mar,26.8,164,30,96,65,1133.28,2,3.78,no
2025-03-15,Bondi,Saturday,True,Mar,26.5,257,78,130,95,1641.31,4,4.55,yes
2025-03-16,Bondi,Sunday,True,Mar,27.1,189,32,104,82,1285.68,4,3.99,no
2025-03-17,Bondi,Monday,False,Mar,23.7,172,67,65,66,1076.78,3,4.35,no
2025-03-18,Bondi,Tuesday,False,Mar,25.7,150,30,75,72,997.21,3,4.68,no
2025-03-19,Bondi,Wednesday,False,Mar,25.7,140,35,66,50,891.16,3,4.34,no
2025-03-20,Bondi,Thursday,False,Mar,25.9,171,42,87,65,1158.84,4,4.25,no
2025-03-21,Bondi,Friday,False,Mar,26.0,136,28,70,47,835.06,3,4.09,no
2025-03-22,Bondi,Saturday,True,Mar,24.3,232,71,97,106,1511.36,6,4.67,no
2025-03-23,Bondi,Sunday,True,Mar,22.1,218,82,86,83,1413.41,6,4.0,no
2025-03-24,Bondi,Monday,False,Mar,25.9,145,57,68,63,996.97,3,4.26,no
2025-03-25,Bondi,Tuesday,False,Mar,24.1,129,29,61,45,749.84,2,4.49,no
2025-03-26,Bondi,Wednesday,False,Mar,23.5,138,55,54,53,896.13,3,4.23,no
2025-03-27,Bondi,Thursday,False,Mar,20.5,184,70,56,81,1134.26,4,4.13,no
2025-03-28,Bondi,Friday,False,Mar,25.4,176,66,77,56,1083.85,4,4.3,no
2025-03-29,Bondi,Saturday,True,Mar,22.9,190,63,64,62,1004.53,4,4.11,no
2025-03-30,Bondi,Sunday,True,Mar,30.8,193,51,112,83,1366.92,3,3.99,no
2025-03-31,Bondi,Monday,False,Mar,23.7,139,55,58,40,834.0,2,4.89,no
2025-04-01,Bondi,Tuesday,False,Apr,26.7,151,20,80,59,883.1,3,4.1,yes
2025-04-02,Bondi,Wednesday,False,Apr,23.3,163,53,71,53,1003.0,4,4.63,no
2025-04-03,Bondi,Thursday,False,Apr,17.1,144,60,47,52,887.49,4,4.43,no
2025-04-04,Bondi,Friday,False,Apr,24.1,156,43,63,60,951.21,4,4.44,no
2025-04-05,Bondi,Saturday,True,Apr,30.2,211,53,133,80,1525.61,5,4.77,no
2025-04-06,Bondi,Sunday,True,Apr,24.5,207,78,84,76,1270.23,5,3.82,no
2025-04-07,Bondi,Monday,False,Apr,23.5,135,28,62,53,824.41,4,4.56,no
2025-04-08,Bondi,Tuesday,False,Apr,23.5,151,40,69,62,958.7,4,4.23,no
2025-04-09,Bondi,Wednesday,False,Apr,23.3,140,47,59,58,921.94,3,4.58,no
2025-04-10,Bondi,Thursday,False,Apr,23.0,129,33,53,40,705.79,4,4.47,no
2025-04-11,Bondi,Friday,False,Apr,26.4,134,41,54,48,826.8,4,3.93,no
2025-04-12,Bondi,Saturday,True,Apr,26.6,219,76,112,84,1509.7,5,3.92,no
2025-04-13,Bondi,Sunday,True,Apr,22.3,209,63,82,91,1286.28,5,3.86,no
2025-04-14,Bondi,Monday,False,Apr,20.3,151,44,45,47,750.79,4,3.89,no
2025-04-15,Bondi,Tuesday,False,Apr,20.1,146,54,43,63,896.83,4,4.04,yes
2025-04-16,Bondi,Wednesday,False,Apr,22.3,146,64,47,56,894.86,4,4.52,no
2025-04-17,Bondi,Thursday,False,Apr,24.9,163,51,66,71,1025.65,4,4.42,no
2025-04-18,Bondi,Friday,False,Apr,25.0,165,57,74,67,1097.2,4,4.44,no
2025-04-19,Bondi,Saturday,True,Apr,24.8,197,45,92,74,1170.05,4,3.76,no
2025-04-20,Bondi,Sunday,True,Apr,21.1,205,71,78,82,1241.67,5,4.19,no
2025-04-21,Bondi,Monday,False,Apr,21.7,123,45,33,53,722.94,3,3.74,no
2025-04-22,Bondi,Tuesday,False,Apr,19.6,142,63,39,52,800.69,3,4.34,no
2025-04-23,Bondi,Wednesday,False,Apr,20.8,189,74,62,62,1071.7,5,4.46,no
2025-04-24,Bondi,Thursday,False,Apr,21.8,149,36,43,77,883.67,3,3.81,no
2025-04-25,Bondi,Friday,False,Apr,24.0,97,39,39,38,656.87,2,4.97,no
2025-04-26,Bondi,Saturday,True,Apr,17.1,204,86,56,86,1219.73,4,4.68,no
2025-04-27,Bondi,Sunday,True,Apr,24.2,190,55,75,70,1128.56,5,3.9,yes
2025-04-28,Bondi,Monday,False,Apr,20.2,148,57,47,61,903.67,3,4.1,no
2025-04-29,Bondi,Tuesday,False,Apr,19.7,108,39,36,49,675.85,2,4.35,yes
2025-04-30,Bondi,Wednesday,False,Apr,18.8,114,27,43,40,632.53,3,4.46,no
2025-05-01,Bondi,Thursday,False,May,22.9,151,31,77,59,941.68,3,4.37,yes
2025-05-02,Bondi,Friday,False,May,23.2,133,53,49,55,909.64,4,4.36,no
2025-05-03,Bondi,Saturday,True,May,20.0,193,82,53,71,1106.89,4,4.77,no
2025-05-04,Bondi,Sunday,True,May,21.6,185,70,60,72,1095.37,4,4.57,no
2025-05-05,Bondi,Monday,False,May,16.7,137,68,26,41,708.63,3,4.31,no
2025-05-06,Bondi,Tuesday,False,May,17.5,147,70,39,54,841.87,4,4.38,no
2025-05-07,Bondi,Wednesday,False,May,19.6,126,54,36,57,797.4,2,4.22,no
2025-05-08,Bondi,Thursday,False,May,21.9,157,57,73,71,1140.27,3,4.53,no
2025-05-09,Bondi,Friday,False,May,17.2,154,64,39,57,855.92,4,4.18,no
2025-05-10,Bondi,Saturday,True,May,13.6,189,102,16,76,1007.34,4,4.32,no
2025-05-11,Bondi,Sunday,True,May,15.5,210,104,31,81,1115.61,5,4.5,no
2025-05-12,Bondi,Monday,False,May,17.9,136,66,23,44,734.88,2,4.76,no
2025-05-13,Bondi,Tuesday,False,May,16.5,133,58,40,54,843.54,3,4.69,no
2025-05-14,Bondi,Wednesday,False,May,17.0,120,62,12,52,667.46,3,4.2,no
2025-05-15,Bondi,Thursday,False,May,17.0,149,81,24,43,770.14,3,4.19,yes
2025-05-16,Bondi,Friday,False,May,15.0,121,52,20,68,737.07,2,4.13,no
2025-05-17,Bondi,Saturday,True,May,11.3,187,93,15,71,899.48,4,4.4,no
2025-05-18,Bondi,Sunday,True,May,18.4,179,69,54,71,1073.91,4,3.94,no
2025-05-19,Bondi,Monday,False,May,14.4,125,75,13,45,631.66,3,4.88,no
2025-05-20,Bondi,Tuesday,False,May,15.6,142,74,30,54,810.59,4,4.47,no
2025-05-21,Bondi,Wednesday,False,May,16.0,146,74,29,62,889.26,3,3.91,no
2025-05-22,Bondi,Thursday,False,May,20.3,176,68,57,79,1149.96,4,4.5,no
2025-05-23,Bondi,Friday,False,May,18.1,126,54,32,43,640.96,2,4.37,no
2025-05-24,Bondi,Saturday,True,May,15.5,197,100,41,67,1102.86,4,4.04,no
2025-05-25,Bondi,Sunday,True,May,16.1,173,72,48,63,979.34,5,4.03,no
2025-05-26,Bondi,Monday,False,May,14.3,137,78,21,39,718.16,4,4.15,no
2025-05-27,Bondi,Tuesday,False,May,13.9,92,57,12,30,466.41,2,4.32,no
2025-05-28,Bondi,Wednesday,False,May,18.3,134,41,38,60,766.62,4,4.59,no
2025-05-29,Bondi,Thursday,False,May,15.5,123,67,11,47,620.73,3,4.32,no
2025-05-30,Bondi,Friday,False,May,13.9,107,57,20,39,601.15,2,4.25,no
2025-05-31,Bondi,Saturday,True,May,10.7,202,121,2,73,1000.81,4,4.62,no
2025-06-01,Bondi,Sunday,True,Jun,17.5,210,72,47,82,1120.52,5,4.15,yes
2025-06-02,Bondi,Monday,False,Jun,15.3,144,73,15,48,746.83,3,4.73,no
2025-06-03,Bondi,Tuesday,False,Jun,11.2,178,111,6,82,1007.62,3,4.57,no
2025-06-04,Bondi,Wednesday,False,Jun,12.2,119,75,9,42,663.16,4,4.66,no
2025-06-05,Bondi,Thursday,False,Jun,18.3,109,45,36,40,632.08,2,3.98,no
2025-06-06,Bondi,Friday,False,Jun,12.2,123,75,8,44,647.95,4,4.21,no
2025-06-07,Bondi,Saturday,True,Jun,12.4,192,106,20,68,981.04,4,4.16,no
2025-06-08,Bondi,Sunday,True,Jun,17.2,164,67,43,66,939.16,3,4.57,no
2025-06-09,Bondi,Monday,False,Jun,11.7,103,50,5,35,479.01,3,4.2,no
2025-06-10,Bondi,Tuesday,False,Jun,17.6,130,72,22,54,837.87,4,4.52,no
2025-06-11,Bondi,Wednesday,False,Jun,12.0,141,93,11,58,757.24,4,4.05,no
2025-06-12,Bondi,Thursday,False,Jun,13.4,142,74,22,45,774.4,3,4.3,no
2025-06-13,Bondi,Friday,False,Jun,13.2,171,92,23,68,935.81,3,4.35,no
2025-06-14,Bondi,Saturday,True,Jun,17.8,193,93,43,80,1178.56,5,3.96,no
2025-06-15,Bondi,Sunday,True,Jun,12.5,195,119,11,67,1035.44,5,4.63,yes
2025-06-16,Bondi,Monday,False,Jun,11.3,120,77,3,48,656.6,3,4.47,no
2025-06-17,Bondi,Tuesday,False,Jun,18.4,136,42,38,39,634.71,2,4.34,no
2025-06-18,Bondi,Wednesday,False,Jun,13.0,128,72,12,43,667.35,3,4.4,no
2025-06-19,Bondi,Thursday,False,Jun,14.1,139,64,31,60,830.79,3,4.17,no
2025-06-20,Bondi,Friday,False,Jun,13.9,125,76,15,46,739.27,3,4.54,no
2025-06-21,Bondi,Saturday,True,Jun,14.2,231,123,40,89,1349.25,4,4.04,no
2025-06-22,Bondi,Sunday,True,Jun,15.8,176,82,34,65,931.69,3,4.26,no
2025-06-23,Bondi,Monday,False,Jun,11.3,124,77,2,42,610.58,2,4.07,no
2025-06-24,Bondi,Tuesday,False,Jun,15.1,142,75,22,55,802.27,4,4.18,no
2025-06-25,Bondi,Wednesday,False,Jun,14.6,131,76,14,51,732.53,3,4.3,no
2025-06-26,Bondi,Thursday,False,Jun,14.2,102,40,15,35,494.3,2,4.15,no
2025-06-27,Bondi,Friday,False,Jun,12.7,127,82,11,53,764.02,2,4.44,no
2025-06-28,Bondi,Saturday,True,Jun,14.5,162,60,37,72,931.96,2,4.18,no
2025-06-29,Bondi,Sunday,True,Jun,16.1,152,64,28,47,721.7,4,4.32,no
2025-06-30,Bondi,Monday,False,Jun,12.4,146,69,19,68,794.33,3,4.4,no
2025-07-01,Bondi,Tuesday,False,Jul,12.3,139,75,21,62,855.53,3,4.46,yes
2025-07-02,Bondi,Wednesday,False,Jul,15.4,133,42,34,41,672.37,3,4.1,no
2025-07-03,Bondi,Thursday,False,Jul,15.8,124,55,29,45,687.96,3,3.97,no
2025-07-04,Bondi,Friday,False,Jul,14.7,112,67,9,42,603.13,3,4.01,no
2025-07-05,Bondi,Saturday,True,Jul,10.6,173,103,0,78,922.29,4,4.15,no
2025-07-06,Bondi,Sunday,True,Jul,13.4,158,76,25,64,873.7,4,4.32,no
2025-07-07,Bondi,Monday,False,Jul,9.2,151,94,1,52,691.23,3,4.67,no
2025-07-08,Bondi,Tuesday,False,Jul,12.0,107,58,6,38,521.12,2,4.11,no
2025-07-09,Bondi,Wednesday,False,Jul,13.7,131,62,28,50,728.1,3,3.99,no
2025-07-10,Bondi,Thursday,False,Jul,10.4,144,99,0,53,727.04,3,4.78,no
2025-07-11,Bondi,Friday,False,Jul,9.6,143,88,11,50,768.5,3,4.61,no
2025-07-12,Bondi,Saturday,True,Jul,12.6,204,116,20,68,1033.91,5,4.03,no
2025-07-13,Bondi,Sunday,True,Jul,11.5,182,100,13,69,965.29,6,3.95,no
2025-07-14,Bondi,Monday,False,Jul,12.4,117,55,13,43,610.3,2,4.34,no
2025-07-15,Bondi,Tuesday,False,Jul,10.4,143,79,8,64,746.33,4,4.21,yes
2025-07-16,Bondi,Wednesday,False,Jul,10.2,130,84,3,35,607.64,3,4.72,no
2025-07-17,Bondi,Thursday,False,Jul,15.5,102,46,21,41,557.04,2,3.84,no
2025-07-18,Bondi,Friday,False,Jul,13.3,118,52,20,37,544.7,3,4.83,no
2025-07-19,Bondi,Saturday,True,Jul,13.5,198,75,39,75,1028.19,3,4.36,no
2025-07-20,Bondi,Sunday,True,Jul,14.6,170,78,30,69,941.5,3,3.86,no
2025-07-21,Bondi,Monday,False,Jul,15.6,149,72,24,70,895.63,3,4.28,no
2025-07-22,Bondi,Tuesday,False,Jul,12.3,116,63,18,41,597.9,2,4.26,no
2025-07-23,Bondi,Wednesday,False,Jul,11.9,153,78,14,32,605.75,2,4.21,no
2025-07-24,Bondi,Thursday,False,Jul,16.4,133,85,21,52,815.7,3,3.9,no
2025-07-25,Bondi,Friday,False,Jul,13.8,162,86,29,72,979.75,3,4.26,no
2025-07-26,Bondi,Saturday,True,Jul,12.6,175,91,23,48,842.64,5,3.77,no
2025-07-27,Bondi,Sunday,True,Jul,13.0,157,86,15,47,770.32,4,3.93,no
2025-07-28,Bondi,Monday,False,Jul,15.8,131,66,28,47,772.34,3,4.01,no
2025-07-29,Bondi,Tuesday,False,Jul,15.3,149,79,23,68,900.67,4,4.65,no
2025-07-30,Bondi,Wednesday,False,Jul,14.8,129,59,28,43,691.97,3,4.4,no
2025-07-31,Bondi,Thursday,False,Jul,10.3,123,75,7,47,727.22,3,4.27,no
2025-08-01,Bondi,Friday,False,Aug,16.6,141,74,20,53,823.82,2,4.71,yes
2025-08-02,Bondi,Saturday,True,Aug,13.0,199,109,22,85,1129.27,5,4.28,no
2025-08-03,Bondi,Sunday,True,Aug,12.9,174,104,20,55,884.45,4,4.78,no
2025-08-04,Bondi,Monday,False,Aug,16.8,158,77,31,36,745.01,4,3.87,no
2025-08-05,Bondi,Tuesday,False,Aug,10.3,140,98,13,66,876.83,2,4.33,no
2025-08-06,Bondi,Wednesday,False,Aug,9.6,127,79,0,47,651.78,3,4.33,no
2025-08-07,Bondi,Thursday,False,Aug,18.7,118,58,27,62,792.57,3,4.23,no
2025-08-08,Bondi,Friday,False,Aug,12.3,149,83,18,69,918.2,3,4.57,no
2025-08-09,Bondi,Saturday,True,Aug,16.4,235,112,54,90,1390.75,5,4.51,no
2025-08-10,Bondi,Sunday,True,Aug,13.0,188,87,23,91,1067.24,3,4.61,no
2025-08-11,Bondi,Monday,False,Aug,14.7,151,57,20,57,720.28,4,4.12,no
2025-08-12,Bondi,Tuesday,False,Aug,15.2,133,69,23,42,747.53,2,4.33,no
2025-08-13,Bondi,Wednesday,False,Aug,12.5,148,88,22,62,891.66,4,3.93,yes
2025-08-14,Bondi,Thursday,False,Aug,15.7,149,65,23,72,840.65,2,3.96,no
2025-08-15,Bondi,Friday,False,Aug,17.4,138,59,41,57,877.97,3,4.41,yes
2025-08-16,Bondi,Saturday,True,Aug,13.5,175,83,28,68,928.4,4,4.18,no
2025-08-17,Bondi,Sunday,True,Aug,14.7,187,63,42,61,831.41,4,4.44,no
2025-08-18,Bondi,Monday,False,Aug,15.2,122,55,33,44,683.68,3,4.17,no
2025-08-19,Bondi,Tuesday,False,Aug,15.1,141,83,20,44,737.25,3,4.34,no
2025-08-20,Bondi,Wednesday,False,Aug,13.6,138,62,15,59,690.32,3,4.51,no
2025-08-21,Bondi,Thursday,False,Aug,21.5,112,45,35,54,724.22,2,4.61,no
2025-08-22,Bondi,Friday,False,Aug,14.3,153,77,20,62,829.8,4,4.04,no
2025-08-23,Bondi,Saturday,True,Aug,12.1,158,84,25,68,908.16,3,4.23,no
2025-08-24,Bondi,Sunday,True,Aug,16.3,173,70,35,74,979.09,4,4.05,no
2025-08-25,Bondi,Monday,False,Aug,18.1,133,58,36,40,759.81,2,4.34,no
2025-08-26,Bondi,Tuesday,False,Aug,11.1,144,80,13,47,734.45,4,4.36,no
2025-08-27,Bondi,Wednesday,False,Aug,17.4,152,57,45,53,857.11,4,4.72,no
2025-08-28,Bondi,Thursday,False,Aug,15.8,142,66,26,49,770.37,3,4.2,no
2025-08-29,Bondi,Friday,False,Aug,14.2,135,81,8,48,707.81,3,3.79,no
2025-08-30,Bondi,Saturday,True,Aug,16.0,192,104,29,77,1095.71,4,4.68,yes
2025-08-31,Bondi,Sunday,True,Aug,13.7,214,109,32,103,1295.71,5,4.42,no
2025-09-01,Bondi,Monday,False,Sep,16.6,144,68,29,58,838.27,4,4.56,yes
2025-09-02,Bondi,Tuesday,False,Sep,16.8,151,70,32,67,856.67,4,5.0,no
2025-09-03,Bondi,Wednesday,False,Sep,20.0,110,56,37,56,785.67,2,3.91,no
2025-09-04,Bondi,Thursday,False,Sep,15.3,141,71,28,58,837.84,2,4.7,no
2025-09-05,Bondi,Friday,False,Sep,16.7,163,76,33,57,874.74,4,4.23,no
2025-09-06,Bondi,Saturday,True,Sep,18.5,179,70,57,62,1042.27,5,4.05,no
2025-09-07,Bondi,Sunday,True,Sep,20.1,172,73,50,54,896.72,3,4.4,no
2025-09-08,Bondi,Monday,False,Sep,18.1,148,75,32,66,904.89,4,4.21,no
2025-09-09,Bondi,Tuesday,False,Sep,17.7,115,38,38,43,643.14,3,4.43,no
2025-09-10,Bondi,Wednesday,False,Sep,20.4,147,36,46,53,743.26,3,4.07,no
2025-09-11,Bondi,Thursday,False,Sep,19.6,176,61,61,69,1017.44,4,4.41,no
2025-09-12,Bondi,Friday,False,Sep,16.9,138,76,28,80,1000.04,4,4.36,no
2025-09-13,Bondi,Saturday,True,Sep,22.8,185,61,75,76,1175.64,4,3.96,yes
2025-09-14,Bondi,Sunday,True,Sep,20.9,174,80,55,70,1137.78,3,4.34,no
2025-09-15,Bondi,Monday,False,Sep,14.1,150,60,30,47,718.89,3,3.93,yes
2025-09-16,Bondi,Tuesday,False,Sep,23.3,153,48,60,79,1093.94,3,4.4,no
2025-09-17,Bondi,Wednesday,False,Sep,14.8,132,54,31,46,671.34,2,4.48,no
2025-09-18,Bondi,Thursday,False,Sep,14.6,132,61,32,45,743.04,3,4.34,no
2025-09-19,Bondi,Friday,False,Sep,18.8,139,44,44,62,812.82,2,4.66,no
2025-09-20,Bondi,Saturday,True,Sep,19.1,191,83,62,82,1251.89,3,3.8,no
2025-09-21,Bondi,Sunday,True,Sep,15.9,202,84,42,67,1003.51,4,4.23,no
2025-09-22,Bondi,Monday,False,Sep,21.8,126,61,42,55,861.55,2,4.0,no
2025-09-23,Bondi,Tuesday,False,Sep,17.1,180,83,43,58,957.58,4,4.12,no
2025-09-24,Bondi,Wednesday,False,Sep,19.6,148,45,51,58,857.16,4,4.24,no
2025-09-25,Bondi,Thursday,False,Sep,16.8,152,63,37,53,822.4,4,3.97,no
2025-09-26,Bondi,Friday,False,Sep,18.2,179,68,56,62,1076.62,4,4.46,no
2025-09-27,Bondi,Saturday,True,Sep,18.8,210,79,63,91,1278.02,4,4.57,no
2025-09-28,Bondi,Sunday,True,Sep,21.3,186,54,68,74,1049.36,4,3.58,yes
2025-09-29,Bondi,Monday,False,Sep,21.3,154,44,61,72,1025.89,3,4.07,no
2025-09-30,Bondi,Tuesday,False,Sep,19.5,149,76,30,54,822.03,4,4.2,no
2025-10-01,Bondi,Wednesday,False,Oct,21.1,140,54,55,48,823.43,3,4.47,yes
2025-10-02,Bondi,Thursday,False,Oct,19.3,178,74,54,71,1058.11,4,4.11,no
2025-10-03,Bondi,Friday,False,Oct,15.5,160,78,28,47,791.53,4,4.33,no
2025-10-04,Bondi,Saturday,True,Oct,24.0,197,73,82,59,1197.05,4,4.07,no
2025-10-05,Bondi,Sunday,True,Oct,20.7,200,77,69,88,1323.86,5,4.51,no
2025-10-06,Bondi,Monday,False,Oct,17.7,158,76,40,43,916.66,3,4.3,no
2025-10-07,Bondi,Tuesday,False,Oct,17.2,137,59,20,34,596.74,3,4.21,no
2025-10-08,Bondi,Wednesday,False,Oct,24.3,147,44,63,51,915.16,3,4.2,no
2025-10-09,Bondi,Thursday,False,Oct,22.3,141,48,55,65,958.1,2,4.23,no
2025-10-10,Bondi,Friday,False,Oct,20.0,163,68,53,61,998.2,4,3.89,no
2025-10-11,Bondi,Saturday,True,Oct,18.7,231,100,66,89,1365.72,5,4.54,no
2025-10-12,Bondi,Sunday,True,Oct,25.4,204,57,96,76,1287.77,5,4.96,no
2025-10-13,Bondi,Monday,False,Oct,22.2,162,56,56,57,869.19,4,4.29,no
2025-10-14,Bondi,Tuesday,False,Oct,22.0,154,47,71,66,1015.97,4,4.21,no
2025-10-15,Bondi,Wednesday,False,Oct,19.6,135,58,44,55,837.14,3,3.59,yes
2025-10-16,Bondi,Thursday,False,Oct,24.4,149,54,67,52,985.05,3,4.45,no
2025-10-17,Bondi,Friday,False,Oct,23.0,176,58,66,64,1047.69,6,4.14,no
2025-10-18,Bondi,Saturday,True,Oct,20.8,175,69,56,58,981.01,3,4.34,no
2025-10-19,Bondi,Sunday,True,Oct,25.3,223,66,98,85,1411.71,4,4.27,no
2025-10-20,Bondi,Monday,False,Oct,22.5,155,44,60,67,959.4,4,4.52,no
